Encuestadora,link,tipo,Fecha_inicio,Fecha_fin,Poblacion,Ambito,Keiko_Fujimori,Julio_Guzman,Pedro_Pablo_Kuczynski,Cesar_Acuna,Alan_Garcia,Daniel_Urresti,Alejandro_Toledo,Alfredo_Barnechea,Veronika_Mendoza,Renzo_Reggiardo,Hernando_Guerra_Garcia,Lourdes_Flores,Humberto_Lay,Mauricio_Diez_Canseco,Gregorio_Santos,Marco_Arana,Sergio_Tejada,Antero_Flores,Romulo_Mucho,Yehude_Simon,Juan_Eguren,Milton_Von_Hesse,Raul_Castro,Ricardo_Belmont,Vladimir_Cerron,Fernando_Olivera,Miguel_Hilario,Felipe_Castillo,Blanco_viciado,No_sabe_no_opina,Otros_candidatos,Suma
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201511_01.pdf,Encuesta,20151101,20151105,1450,N U ,33.5,,17.1,9.8,7.8,,4.2,1.1,2.4,2.2,,,,,,,,1.2,,,,2.1,,,,,,,11.7,4.6,2.3,100
Ipsos,http://www.ipsos.pe/sites/default/files/opinion_data/6201015_INF_V4_19oct15%28OD%29.pdf,Encuesta,20151009,20151014,1808,N UR,35,,14,6,9,2,5,,,,,,,,,,,,,,,,,,,,,,8,7,14,100
GFK,http://www.gfk.com/pe/Documents/Publicaciones%202015/Octubre%202015/GfK%20OP%20Octubre%202015-%20Gobierno%20y%20Lima.pdf,Encuesta,20151017,20151020,1308,N UR,33,0.2,11,4,7,2,3,,1,,,,2,,,,0.1,,,,,,,,,,,,17,15,4.7,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201510_01.pdf,Encuesta,20151005,20151009,1450,N U ,31.7,,15.4,4.6,9.5,4.5,8.7,,1.9,2.3,,,3.5,,,,,0.5,,0.9,,,,,,,,,8.4,3.5,4.6,100
Datum,http://www.datum.com.pe/pdf/PUL1015.pdf,Encuesta,20151001,20151005,1200,N UR,37,,18,4,8,3,5,,0.4,,,,1,,1,,0.5,0.5,,,,,,,,,,,13,8,0.6,100
GFK,http://www.gfk.com/pe/Documents/Publicaciones%202015/Setiembre%202015/GfK%20OP%20Septiembre%202015%20Gobierno%20y%20Lima.pdf,Encuesta,20150919,20150923,1305,N UR,34,0,12,3,6,3,4,,0.5,,,,2,,,1,0.2,0.4,0.3,0.2,,,,,,,,,17,14,2.4,100
Datum,http://www.datum.com.pe/pdf/PUL0915V.pdf,Encuesta,20150904,20150907,1200,N UR,36,0.6,16,4,7,3,5,,,,,,3,0.5,1,,0.3,,,1,0.3,,,,,,,,5,16,1.3,100
GFK,http://www.gfk.com/pe/Documents/Publicaciones%202015/Agosto%202015/GfK%20OP%20Agosto%202015_Gobierno%20y%20Lima%204.pdf,Encuesta,20150822,20150826,1318,N UR,32,0.6,13,3,6,3,4,,1,,,,2,1,0.6,0.4,0.3,0.4,0.4,0.5,,,,,,,,,19,12,0.8,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201509_01.pdf,Encuesta,20150823,20150828,1200,N U,34.2,,14.7,3.6,8,3.6,5.8,,,2.2,,4.8,3.8,,,,,,,,,,,,,,,,10.8,3.8,4.7,100
Datum,http://www.datum.com.pe/pdf/PUL0815.pdf,Encuesta,20150801,20150804,1200,N UR,34,,17,4,6,5,3,,,,,,1,,1,,0.4,0.7,,0.6,0.4,,,,,,,,6,20,0.9,100
GFK,http://www.gfk.com/pe/Documents/Publicaciones%202015/Julio%202015/GfK%20OP%20Julio%202015%20Gobierno%20y%20Lima.pdf,Encuesta,20150718,20150723,1319,N UR,31,0.6,12,3,8,2,4,,,,,,2,2,1,0.2,,0.5,0.3,0.5,,,,,,,,,17,13,2.9,100
Ipsos,http://www.ipsos.pe/sites/default/files/opinion_data/6200715_INF_V2_20Jul15%28OD%29.pdf,Encuesta,20150714,20150717,1234,N UR,33,,15,4,11,3,8,,,,,,,,,,,,,,,,,,,,,,8,5,13,100
Datum,http://www.datum.com.pe/pdf/PUL0715.pdf,Encuesta,20150703,20150707,1200,N UR,33,,17,3,9,3,5,,,,,,2,1.2,2,,,0.4,,0.6,,,,,,,,,4,20,0,100
Datum,http://www.datum.com.pe/pdf/PUL0615.pdf,Encuesta,20150605,20150609,1200,N UR,33,,15,3,7,3,5,,,,,,2,1.3,0.8,0.6,0.5,0.6,,0.4,,,,,,,,,5,22,0.8,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201507_03.pdf,Encuesta,20150622,20150627,1200,N U ,31.7,0.8,15.4,4.6,9.5,4.5,8.7,,,,,4.9,,0.8,,,,,,0.9,,,,,,,,,8.4,3.5,6.3,100
GFK,http://www.gfk.com/pe/Documents/Publicaciones%202015/Junio%202015/GfK%20OP%20Junio%202015%20Gobierno%20y%20Lima.pdf,Encuesta,20150620,20150620,1240,N U,30,1,14,,10,3,3,,,,,,,3,0.3,0.4,,0.8,,0.5,,,,,,,,,17,11,6,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201505_01.pdf,Encuesta,20150513,20150517,1450,N U,33.1,,14.2,4.6,10.5,5.8,5.5,,,,,5.4,,,,,,,,,,,,,,,,,10.4,3.5,7,100
Datum,http://www.datum.com.pe/pdf/PUL0515.pdf,Encuesta,20150430,20150505,1200,N UR,35,1,18,3,9,5,6,,,,,,2,1.1,0.9,0.5,0.4,,,1,,,,,,,,,5,12,0.1,100
Datum,http://www.datum.com.pe/pdf/PUL0415.pdf,Encuesta,20150327,20150330,1200,N UR,34,0.2,15,3,11,6,5,,,,,,2,1,,0.3,,0.7,,,,,,,,,,,5,15,1.8,100
